timestamp,dx_rel,dy_rel,ear_left,ear_right,blink_l,blink_r,dist_cm,brightness,label
2025-12-12T16:42:29.644468,-0.0075,-0.0194,0.4307,0.4717,0,0,45.6,117,CENTER
2025-12-12T16:42:29.721305,-0.0155,-0.0201,0.4307,0.4582,0,0,45.5,117,CENTER
2025-12-12T16:42:29.830386,-0.0111,-0.0176,0.4300,0.4709,0,0,45.5,117,CENTER
2025-12-12T16:42:29.905880,-0.0144,-0.0227,0.4280,0.4647,0,0,45.4,117,CENTER
2025-12-12T16:42:29.998949,-0.0096,-0.0259,0.4294,0.4757,0,0,45.6,117,CENTER
2025-12-12T16:42:30.074659,-0.0088,-0.0237,0.4218,0.4525,0,0,45.2,117,CENTER
2025-12-12T16:42:30.159326,-0.0092,-0.0239,0.4325,0.4687,0,0,45.4,117,CENTER
2025-12-12T16:42:30.266589,-0.0068,-0.0242,0.4257,0.4639,0,0,45.2,117,CENTER
2025-12-12T16:42:30.340704,-0.0074,-0.0217,0.4324,0.4685,0,0,45.3,117,CENTER
2025-12-12T16:42:30.438235,-0.0029,-0.0218,0.4329,0.4579,0,0,45.5,117,CENTER
2025-12-12T16:42:30.496690,-0.0037,-0.0219,0.4367,0.4596,0,0,45.6,117,CENTER
2025-12-12T16:42:30.605916,-0.0064,-0.0221,0.4358,0.4629,0,0,45.7,117,CENTER
2025-12-12T16:42:30.698789,-0.0003,-0.0262,0.4365,0.4679,0,0,45.7,117,CENTER
2025-12-12T16:42:30.766904,-0.0064,-0.0281,0.4332,0.4642,0,0,45.3,117,CENTER
2025-12-12T16:42:30.866050,-0.0064,-0.0259,0.4350,0.4605,0,0,45.5,117,CENTER
2025-12-12T16:42:30.938857,-0.0024,-0.0257,0.4392,0.4595,0,0,45.5,117,CENTER
2025-12-12T16:42:31.029231,-0.0049,-0.0246,0.4377,0.4755,0,0,45.2,117,CENTER
2025-12-12T16:42:31.132845,-0.0017,-0.0222,0.4345,0.4951,0,0,45.2,117,CENTER
2025-12-12T16:42:31.211495,0.0012,-0.0240,0.4294,0.4763,0,0,45.0,117,CENTER
2025-12-12T16:42:31.287681,0.0005,-0.0233,0.4315,0.4689,0,0,44.8,117,CENTER
2025-12-12T16:42:35.715817,0.0155,-0.0311,0.4349,0.4993,0,0,46.1,116,CENTER
2025-12-12T16:42:35.808727,0.0140,-0.0303,0.4320,0.4936,0,0,46.3,116,CENTER
2025-12-12T16:42:35.900742,0.0120,-0.0292,0.4352,0.4756,0,0,46.2,116,CENTER
2025-12-12T16:42:35.977129,0.0114,-0.0322,0.4330,0.4867,0,0,46.1,116,CENTER
2025-12-12T16:42:36.069980,0.0198,-0.0260,0.4366,0.4792,0,0,45.6,116,CENTER
2025-12-12T16:42:36.132458,0.0124,-0.0259,0.4403,0.5010,0,0,46.0,116,CENTER
2025-12-12T16:42:36.233310,0.0062,-0.0302,0.4381,0.4700,0,0,46.0,116,CENTER
2025-12-12T16:42:36.336409,0.0006,-0.0348,0.4353,0.4712,0,0,46.3,116,CENTER
2025-12-12T16:42:36.410511,-0.0048,-0.0379,0.4296,0.4808,0,0,46.5,116,CENTER
